Name,Team,College,Salary,Height,Weight,Age,Position,College_for_count,Player_Count
Tim Frazier,New Orleans Pelicans,Penn State,845059.0,6-1,170,25,Pg,,
Steven Adams,Oklahoma City Thunder,Pittsburgh,2279040.0,7-0,255,22,C,,
Lamar Patterson,Atlanta Hawks,Pittsburgh,525093.0,6-5,225,24,Sg,,
Bryce Cotton,Memphis Grizzlies,Providence,700902.0,6-1,165,23,Pg,,
Carl Landry,Philadelphia 76ers,Purdue,6500000.0,6-9,248,32,Pf,,
E'twaun Moore,Chicago Bulls,Purdue,1015421.0,6-4,191,27,Sg,,
Jason Thompson,Toronto Raptors,Rider,245177.0,6-11,250,29,Pf,,
Jameer Nelson,Denver Nuggets,Saint Joseph's,4345000.0,6-0,190,34,Pg,,
Langston Galloway,New York Knicks,Saint Joseph's,845059.0,6-2,200,24,Sg,,
Willie Reed,Brooklyn Nets,Saint Louis,947276.0,6-10,220,26,Pf,,
Patty Mills,San Antonio Spurs,Saint Mary's,3578947.0,6-0,185,27,Pg,,
Matthew Dellavedova,Cleveland Cavaliers,Saint Mary's,1147276.0,6-4,198,25,Pg,,
Kawhi Leonard,San Antonio Spurs,San Diego State,16407500.0,6-7,230,24,Sf,,
Andrew Nicholson,Orlando Magic,St. Bonaventure,2380593.0,6-9,250,26,Pf,,
Metta World Peace,Los Angeles Lakers,St. John's,947276.0,6-7,260,36,Sf,,
Maurice Harkless,Portland Trail Blazers,St. John's,2894059.0,6-9,215,23,Sf,,
Jakarr Sampson,Denver Nuggets,St. John's,258489.0,6-9,214,23,Sg,,
Brook Lopez,Brooklyn Nets,Stanford,19689000.0,7-0,275,28,C,,
Robin Lopez,New York Knicks,Stanford,12650000.0,7-0,255,28,C,,
Dwight Powell,Dallas Mavericks,Stanford,845059.0,6-11,240,24,Pf,,
Anthony Brown,Los Angeles Lakers,Stanford,700000.0,6-7,210,23,Sf,,
Josh Huestis,Oklahoma City Thunder,Stanford,1140240.0,6-7,230,24,Sf,,
Chris Mccullough,Brooklyn Nets,Syracuse,1140240.0,6-11,200,21,Pf,,
Rakeem Christmas,Indiana Pacers,Syracuse,1007026.0,6-9,250,24,Pf,,
Tyler Ennis,Milwaukee Bucks,Syracuse,1662360.0,6-3,194,21,Pg,,
Michael Carter-Williams,Milwaukee Bucks,Syracuse,2399040.0,6-6,190,24,Pg,,
Wesley Johnson,Los Angeles Clippers,Syracuse,1100602.0,6-7,215,28,Sf,,
Carmelo Anthony,New York Knicks,Syracuse,22875000.0,6-8,240,32,Sf,,
Jerami Grant,Philadelphia 76ers,Syracuse,845059.0,6-8,210,22,Sf,,
Dion Waiters,Oklahoma City Thunder,Syracuse,5138430.0,6-4,220,24,Sg,,
Lavoy Allen,Indiana Pacers,Temple,4050000.0,6-9,255,27,Pf,,
C.J. Watson,Orlando Magic,Tennessee,5000000.0,6-2,175,32,Pg,,
Tobias Harris,Detroit Pistons,Tennessee,16000000.0,6-9,235,23,Sf,,
Jordan Mcrae,Cleveland Cavaliers,Tennessee,111196.0,6-5,179,25,Sg,,
Josh Richardson,Miami Heat,Tennessee,525093.0,6-6,200,22,Sg,,
Robert Covington,Philadelphia 76ers,Tennessee State,1000000.0,6-9,215,25,Sf,,
Tristan Thompson,Cleveland Cavaliers,Texas,14260870.0,6-9,238,25,C,,
Myles Turner,Indiana Pacers,Texas,2357760.0,6-11,243,20,Pf,,
Lamarcus Aldridge,San Antonio Spurs,Texas,19689000.0,6-11,240,30,Pf,,
D.J. Augustin,Denver Nuggets,Texas,3000000.0,6-0,183,28,Pg,,
Avery Bradley,Boston Celtics,Texas,7730337.0,6-2,180,25,Pg,,
Cory Joseph,Toronto Raptors,Texas,7000000.0,6-3,190,24,Pg,,
P.J. Tucker,Phoenix Suns,Texas,5500000.0,6-6,245,31,Sf,,
Kevin Durant,Oklahoma City Thunder,Texas,20158622.0,6-9,240,27,Sf,,
Jordan Hamilton,New Orleans Pelicans,Texas,1015421.0,6-7,220,25,Sg,,
Deandre Jordan,Los Angeles Clippers,Texas A&M,19689000.0,6-11,265,27,C,,
Donald Sloan,Brooklyn Nets,Texas A&M,947276.0,6-3,205,28,Pg,,
Khris Middleton,Milwaukee Bucks,Texas A&M,14700000.0,6-8,234,24,Sg,,
Alan Williams,Phoenix Suns,Uc Santa Barbara,83397.0,6-8,260,23,C,,
Orlando Johnson,New Orleans Pelicans,Uc Santa Barbara,55722.0,6-5,220,27,Sg,,
Kevin Love,Cleveland Cavaliers,Ucla,19689000.0,6-10,251,27,Pf,,
Luc Richard Mbah A Moute,Los Angeles Clippers,Ucla,947276.0,6-8,230,29,Pf,,
Darren Collison,Sacramento Kings,Ucla,5013559.0,6-0,175,28,Pg,,
Russell Westbrook,Oklahoma City Thunder,Ucla,16744218.0,6-3,200,27,Pg,,
Jrue Holiday,New Orleans Pelicans,Ucla,10595507.0,6-4,205,25,Pg,,
Zach Lavine,Minnesota Timberwolves,Ucla,2148360.0,6-5,189,21,Pg,,
Shabazz Muhammad,Minnesota Timberwolves,Ucla,2056920.0,6-6,223,23,Sf,,
Matt Barnes,Memphis Grizzlies,Ucla,3542500.0,6-7,226,36,Sf,,
Trevor Ariza,Houston Rockets,Ucla,8193030.0,6-8,215,30,Sf,,
Kevon Looney,Golden State Warriors,Ucla,1131960.0,6-9,220,20,Sf,,
Kyle Anderson,San Antonio Spurs,Ucla,1142880.0,6-9,230,22,Sf,,
Norman Powell,Toronto Raptors,Ucla,650000.0,6-4,215,23,Sg,,
Arron Afflalo,New York Knicks,Ucla,8000000.0,6-5,210,30,Sg,,
Jordan Adams,Memphis Grizzlies,Ucla,1404600.0,6-5,209,21,Sg,,
Joel Anthony,Detroit Pistons,Unlv,2500000.0,6-9,245,33,C,,
Christian Wood,Philadelphia 76ers,Unlv,525093.0,6-11,220,20,Pf,,
Lou Amundson,New York Knicks,Unlv,1635476.0,6-9,220,33,Pf,,
Rashad Vaughn,Milwaukee Bucks,Unlv,1733040.0,6-6,202,19,Sg,,
Dewayne Dedmon,Orlando Magic,Usc,947276.0,7-0,245,26,C,,
Nikola Vucevic,Orlando Magic,Usc,11250000.0,7-0,260,25,C,,
Taj Gibson,Chicago Bulls,Usc,8500000.0,6-9,225,30,Pf,,
Nick Young,Los Angeles Lakers,Usc,5219169.0,6-7,210,31,Sf,,
O.J. Mayo,Milwaukee Bucks,Usc,8000000.0,6-5,210,28,Sg,,
Demar Derozan,Toronto Raptors,Usc,10050000.0,6-7,220,26,Sg,,
Andrew Bogut,Golden State Warriors,Utah,13800000.0,7-0,260,31,C,,
Andre Miller,San Antonio Spurs,Utah,250750.0,6-3,200,40,Pg,,
Delon Wright,Toronto Raptors,Utah,1509360.0,6-5,190,24,Pg,,
Ronnie Price,Phoenix Suns,Utah Valley,947276.0,6-2,190,32,Pg,,
Festus Ezeli,Golden State Warriors,Vanderbilt,2008748.0,6-11,265,26,C,,
John Jenkins,Phoenix Suns,Vanderbilt,981348.0,6-4,215,25,Sg,,
Dante Cunningham,New Orleans Pelicans,Villanova,2850000.0,6-8,230,29,Pf,,
Kyle Lowry,Toronto Raptors,Villanova,12000000.0,6-0,205,30,Pg,,
Darrun Hilliard,Detroit Pistons,Villanova,600000.0,6-6,205,23,Sf,,
Randy Foye,Oklahoma City Thunder,Villanova,3135000.0,6-4,213,32,Sg,,
Mike Scott,Atlanta Hawks,Virginia,3333333.0,6-8,237,27,Pf,,
Justin Anderson,Dallas Mavericks,Virginia,1449000.0,6-6,228,22,Sg,,
Troy Daniels,Charlotte Hornets,Virginia Commonwealth,947276.0,6-4,205,24,Sg,,
Jarell Eddie,Washington Wizards,Virginia Tech,561716.0,6-7,218,24,Sg,,
Tim Duncan,San Antonio Spurs,Wake Forest,5250000.0,6-11,250,40,C,,
James Johnson,Toronto Raptors,Wake Forest,2500000.0,6-9,250,29,Pf,,
Ish Smith,Philadelphia 76ers,Wake Forest,947276.0,6-0,175,27,Pg,,
Chris Paul,Los Angeles Clippers,Wake Forest,21468695.0,6-0,175,31,Pg,,
Jeff Teague,Atlanta Hawks,Wake Forest,8000000.0,6-2,186,27,Pg,,
Al-Farouq Aminu,Portland Trail Blazers,Wake Forest,8042895.0,6-9,215,25,Sf,,
Spencer Hawes,Charlotte Hornets,Washington,6110034.0,7-1,245,28,Pf,,
Isaiah Thomas,Boston Celtics,Washington,6912869.0,5-9,185,27,Pg,,
Terrence Ross,Toronto Raptors,Washington,3553917.0,6-7,195,25,Sf,,
Quincy Pondexter,New Orleans Pelicans,Washington,3382023.0,6-7,220,28,Sf,,
C.J. Wilcox,Los Angeles Clippers,Washington,1159680.0,6-5,195,25,Sg,,
Tony Wroten,New York Knicks,Washington,167406.0,6-6,205,23,Sg,,
Justin Holiday,Chicago Bulls,Washington,947276.0,6-6,185,27,Sg,,
Aron Baynes,Detroit Pistons,Washington State,6500000.0,6-10,260,29,C,,
Klay Thompson,Golden State Warriors,Washington State,15501000.0,6-7,215,26,Sg,,
Damian Lillard,Portland Trail Blazers,Weber State,4236287.0,6-3,195,25,Pg,,
Luis Montero,Portland Trail Blazers,Westchester Cc,525093.0,6-7,185,23,Sg,,
Kevin Martin,San Antonio Spurs,Western Carolina,200600.0,6-7,199,33,Sg,,
Jeremy Evans,Dallas Mavericks,Western Kentucky,1100602.0,6-9,200,28,Sf,,
Courtney Lee,Charlotte Hornets,Western Kentucky,5675000.0,6-5,200,30,Sg,,
Shayne Whittington,Indiana Pacers,Western Michigan,845059.0,6-11,250,25,Pf,,
Cleanthony Early,New York Knicks,Wichita State,845059.0,6-8,210,25,Sf,,
Frank Kaminsky Iii,Charlotte Hornets,Wisconsin,2612520.0,7-0,240,23,C,,
Jon Leuer,Phoenix Suns,Wisconsin,1035000.0,6-10,228,27,Pf,,
Duje Dukan,Sacramento Kings,Wisconsin,525093.0,6-9,220,24,Pf,,
Devin Harris,Dallas Mavericks,Wisconsin,4053446.0,6-3,185,33,Pg,,
Sam Dekker,Houston Rockets,Wisconsin,1646400.0,6-9,230,22,Sf,,
Larry Nance Jr.,Los Angeles Lakers,Wyoming,1155600.0,6-9,230,23,Pf,,
David West,San Antonio Spurs,Xavier,1499187.0,6-9,250,35,Pf,,
,,Alabama,,,,,,Alabama,3
,,Arizona,,,,,,Arizona,13
,,Arizona State,,,,,,Arizona State,2
,,Arkansas,,,,,,Arkansas,3
,,Baylor,,,,,,Baylor,1
,,Belmont,,,,,,Belmont,1
,,Blinn College,,,,,,Blinn College,1
,,Boston College,,,,,,Boston College,2
,,Bowling Green,,,,,,Bowling Green,1
,,Bucknell,,,,,,Bucknell,1
,,Butler,,,,,,Butler,2
,,California,,,,,,California,3
,,Central Michigan,,,,,,Central Michigan,1
,,Charleston,,,,,,Charleston,1
,,Cincinnati,,,,,,Cincinnati,2
,,Clemson,,,,,,Clemson,2
,,Cleveland State,,,,,,Cleveland State,1
,,Colorado,,,,,,Colorado,3
,,Colorado State,,,,,,Colorado State,1
,,Connecticut,,,,,,Connecticut,7
,,Creighton,,,,,,Creighton,3
,,Davidson,,,,,,Davidson,1
,,Dayton,,,,,,Dayton,2
,,Depaul,,,,,,Depaul,1
,,Duke,,,,,,Duke,18
,,Eastern Washington,,,,,,Eastern Washington,1
,,Florida,,,,,,Florida,10
,,Florida State,,,,,,Florida State,1
,,Fresno State,,,,,,Fresno State,2
,,Georgetown,,,,,,Georgetown,6
,,Georgia,,,,,,Georgia,1
,,Georgia State,,,,,,Georgia State,1
,,Georgia Tech,,,,,,Georgia Tech,6
,,Gonzaga,,,,,,Gonzaga,2
,,Harvard,,,,,,Harvard,1
,,Houston,,,,,,Houston,1
,,Illinois,,,,,,Illinois,2
,,Indiana,,,,,,Indiana,4
,,Iowa,,,,,,Iowa,1
,,Iowa State,,,,,,Iowa State,1
,,Iupui,,,,,,Iupui,1
,,Kansas,,,,,,Kansas,18
,,Kansas State,,,,,,Kansas State,1
,,Kentucky,,,,,,Kentucky,22
,,Lehigh,,,,,,Lehigh,1
,,Long Beach State,,,,,,Long Beach State,1
,,Louisiana Tech,,,,,,Louisiana Tech,1
,,Louisiana-Lafayette,,,,,,Louisiana-Lafayette,1
,,Louisville,,,,,,Louisville,3
,,Lsu,,,,,,Lsu,6
,,Marquette,,,,,,Marquette,5
,,Marshall,,,,,,Marshall,1
,,Maryland,,,,,,Maryland,3
,,Memphis,,,,,,Memphis,3
,,Miami (Fl),,,,,,Miami (Fl),2
,,Michigan,,,,,,Michigan,6
,,Michigan State,,,,,,Michigan State,6
,,Minnesota,,,,,,Minnesota,1
,,Missouri,,,,,,Missouri,3
,,Morehead State,,,,,,Morehead State,1
,,Murray State,,,,,,Murray State,2
,,Nevada,,,,,,Nevada,3
,,New Mexico,,,,,,New Mexico,2
,,Norfolk State,,,,,,Norfolk State,1
,,North Carolina,,,,,,North Carolina,16
,,North Carolina State,,,,,,North Carolina State,3
,,Northeastern,,,,,,Northeastern,1
,,Notre Dame,,,,,,Notre Dame,2
,,Ohio State,,,,,,Ohio State,5
,,Oklahoma,,,,,,Oklahoma,1
,,Oklahoma State,,,,,,Oklahoma State,4
,,Old Dominion,,,,,,Old Dominion,1
,,Oregon,,,,,,Oregon,2
,,Oregon State,,,,,,Oregon State,2
,,Penn State,,,,,,Penn State,1
,,Pittsburgh,,,,,,Pittsburgh,2
,,Providence,,,,,,Providence,1
,,Purdue,,,,,,Purdue,2
,,Rider,,,,,,Rider,1
,,Saint Joseph's,,,,,,Saint Joseph's,2
,,Saint Louis,,,,,,Saint Louis,1
,,Saint Mary's,,,,,,Saint Mary's,2
,,San Diego State,,,,,,San Diego State,1
,,St. Bonaventure,,,,,,St. Bonaventure,1
,,St. John's,,,,,,St. John's,3
,,Stanford,,,,,,Stanford,5
,,Syracuse,,,,,,Syracuse,8
,,Temple,,,,,,Temple,1
,,Tennessee,,,,,,Tennessee,4
,,Tennessee State,,,,,,Tennessee State,1
,,Texas,,,,,,Texas,9
,,Texas A&M,,,,,,Texas A&M,3
,,Uc Santa Barbara,,,,,,Uc Santa Barbara,2
,,Ucla,,,,,,Ucla,14
,,Unlv,,,,,,Unlv,4
,,Usc,,,,,,Usc,6
,,Utah,,,,,,Utah,3
,,Utah Valley,,,,,,Utah Valley,1
,,Vanderbilt,,,,,,Vanderbilt,2
,,Villanova,,,,,,Villanova,4
,,Virginia,,,,,,Virginia,2
,,Virginia Commonwealth,,,,,,Virginia Commonwealth,1
,,Virginia Tech,,,,,,Virginia Tech,1
,,Wake Forest,,,,,,Wake Forest,6
,,Washington,,,,,,Washington,7
,,Washington State,,,,,,Washington State,2
,,Weber State,,,,,,Weber State,1
,,Westchester Cc,,,,,,Westchester Cc,1
,,Western Carolina,,,,,,Western Carolina,1
,,Western Kentucky,,,,,,Western Kentucky,2
,,Western Michigan,,,,,,Western Michigan,1
,,Wichita State,,,,,,Wichita State,1
,,Wisconsin,,,,,,Wisconsin,5
,,Wyoming,,,,,,Wyoming,1
,,Xavier,,,,,,Xavier,1
